,id,season,stage,date,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,B365H,B365D,B365A,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,outcome
11,1740,2008/2009,10,2008-10-29 00:00:00,2,15,4,4,1.44,4.5,7.5,1.45,3.7,6.5,1.44,3.6,6.5,2.2,3.67,3.64,1.36,4.0,7.0,1.45,4.4,7.5,0
12,1741,2008/2009,10,2008-10-29 00:00:00,7,18,2,0,2.88,3.3,2.5,2.55,3.1,2.55,2.5,3.2,2.5,2.2,3.67,3.64,2.5,3.25,2.4,2.6,3.25,2.4,1
13,1742,2008/2009,10,2008-10-29 00:00:00,8,6,0,1,2.6,3.3,2.75,2.3,3.0,2.9,2.38,3.2,2.6,2.2,3.67,3.64,2.38,3.1,2.62,2.6,3.4,2.7,-1
14,1743,2008/2009,10,2008-10-29 00:00:00,9,10,0,3,8.0,4.33,1.44,6.0,3.6,1.5,6.0,3.75,1.44,2.2,3.67,3.64,7.0,3.75,1.4,7.0,4.6,1.45,-1
15,1744,2008/2009,10,2008-10-29 00:00:00,11,3,1,0,2.6,3.3,2.75,2.5,3.0,2.7,2.4,3.25,2.5,2.2,3.67,3.64,2.4,3.1,2.6,2.65,3.35,2.7,1
16,1745,2008/2009,10,2008-10-29 00:00:00,12,17,1,0,1.33,5.0,10.0,1.35,4.2,7.5,1.33,4.0,8.0,2.2,3.67,3.64,1.36,3.75,8.0,1.35,4.8,10.0,1
17,1746,2008/2009,10,2008-10-29 00:00:00,5,19,3,2,1.67,3.75,5.5,1.75,3.3,4.2,1.73,3.2,4.33,2.2,3.67,3.64,1.67,3.3,4.5,1.65,3.85,5.5,1
18,1747,2008/2009,10,2008-10-28 00:00:00,13,16,2,1,1.83,3.5,4.5,1.9,3.2,3.6,1.83,3.2,3.75,2.2,3.67,3.64,1.95,3.25,3.3,1.85,3.45,4.6,1
19,1748,2008/2009,10,2008-10-29 00:00:00,14,20,2,0,2.38,3.3,3.0,2.2,3.0,3.1,2.25,3.2,2.75,2.2,3.67,3.64,2.25,3.2,2.75,2.4,3.35,3.0,1
20,1749,2008/2009,11,2008-11-01 00:00:00,1,9,4,3,1.17,7.0,17.0,1.17,5.7,12.0,1.2,5.0,11.0,2.2,3.67,3.64,1.17,6.5,19.0,1.17,7.0,19.0,1
21,1750,2008/2009,11,2008-11-01 00:00:00,15,12,2,1,3.5,3.3,2.1,3.2,3.1,2.1,3.2,3.2,2.0,2.2,3.67,3.64,3.5,3.3,2.1,3.35,3.5,2.15,1
22,1751,2008/2009,11,2008-11-01 00:00:00,6,14,1,0,1.67,3.75,5.5,1.7,3.4,4.3,1.73,3.2,4.33,2.2,3.67,3.64,1.73,3.5,5.0,1.65,3.7,5.8,1
23,1752,2008/2009,11,2008-11-01 00:00:00,7,4,1,1,2.0,3.3,4.0,1.9,3.3,3.5,1.91,3.25,3.4,2.2,3.67,3.64,2.05,3.3,3.6,1.95,3.35,4.2,0
24,1753,2008/2009,11,2008-11-03 00:00:00,13,5,2,0,3.0,3.3,2.38,2.7,3.2,2.3,3.0,3.25,2.38,2.2,3.67,3.64,3.1,3.3,2.3,3.1,3.3,2.4,1
25,1754,2008/2009,11,2008-11-02 00:00:00,8,18,2,0,3.0,3.3,2.38,2.7,3.2,2.3,2.8,3.2,2.2,2.2,3.67,3.64,3.25,3.25,2.25,3.15,3.4,2.3,1
26,1755,2008/2009,11,2008-11-01 00:00:00,16,19,2,2,2.5,3.3,2.88,2.5,3.2,2.5,2.38,3.2,2.6,2.2,3.67,3.64,2.4,3.3,2.9,2.55,3.35,2.8,0
27,1756,2008/2009,11,2008-11-01 00:00:00,17,20,1,2,1.91,3.4,4.2,1.8,3.2,4.0,1.91,3.2,3.5,2.2,3.67,3.64,2.0,3.3,3.8,1.95,3.45,4.1,-1
28,1757,2008/2009,11,2008-11-01 00:00:00,11,2,2,1,8.0,4.5,1.4,6.0,3.9,1.45,8.0,3.75,1.36,2.2,3.67,3.64,8.0,4.5,1.4,8.0,4.8,1.4,1
29,1758,2008/2009,11,2008-11-01 00:00:00,10,3,5,0,1.17,6.5,21.0,1.22,5.0,10.0,1.22,5.0,10.0,2.2,3.67,3.64,1.2,6.0,15.0,1.2,6.7,15.0,1
30,1759,2008/2009,12,2008-11-08 00:00:00,2,1,2,1,3.25,3.25,2.3,2.9,3.0,2.3,3.0,3.2,2.38,2.2,3.67,3.64,3.1,3.1,2.4,3.25,3.2,2.35,1
31,1760,2008/2009,12,2008-11-08 00:00:00,12,16,3,0,1.2,6.0,19.0,1.2,5.2,11.0,1.22,6.0,13.0,2.2,3.67,3.64,1.22,5.5,15.0,1.22,5.5,17.0,1
32,1761,2008/2009,12,2008-11-08 00:00:00,3,17,1,2,2.38,3.3,3.0,2.2,3.1,3.0,2.38,3.25,3.0,2.2,3.67,3.64,2.3,3.3,3.1,2.3,3.25,3.3,-1
33,1762,2008/2009,12,2008-11-08 00:00:00,4,6,1,3,2.6,3.25,2.8,2.4,3.1,2.7,2.5,3.3,2.8,2.2,3.67,3.64,2.5,3.3,2.8,2.5,3.3,2.9,-1
34,1763,2008/2009,12,2008-11-09 00:00:00,5,7,1,2,1.7,3.8,5.0,1.7,3.4,4.3,1.73,3.5,5.0,2.2,3.67,3.64,1.67,3.8,5.0,1.7,3.75,5.0,-1
35,1764,2008/2009,12,2008-11-09 00:00:00,18,15,1,2,2.25,3.3,3.3,2.3,3.1,2.8,2.2,3.3,3.3,2.2,3.67,3.64,2.15,3.3,3.4,2.25,3.25,3.4,-1
36,1765,2008/2009,12,2008-11-09 00:00:00,19,10,0,2,8.0,4.33,1.44,6.0,3.6,1.5,8.0,3.6,1.5,2.2,3.67,3.64,7.5,4.2,1.44,6.5,4.4,1.5,-1
37,1766,2008/2009,12,2008-11-09 00:00:00,14,13,2,1,2.38,3.25,3.1,2.2,3.1,3.0,2.38,3.25,3.0,2.2,3.67,3.64,2.38,3.25,3.0,2.3,3.25,3.2,1
38,1767,2008/2009,12,2008-11-08 00:00:00,9,8,0,1,2.25,3.25,3.4,2.1,3.1,3.2,2.2,3.3,3.3,2.2,3.67,3.64,2.2,3.2,3.4,2.2,3.25,3.5,-1
39,1768,2008/2009,12,2008-11-08 00:00:00,20,11,0,0,1.8,3.4,5.0,1.75,3.3,4.2,1.8,3.5,4.5,2.2,3.67,3.64,1.73,3.5,5.0,1.75,3.4,5.0,0
40,1769,2008/2009,13,2008-11-15 00:00:00,1,11,5,0,1.14,7.5,23.0,1.17,5.7,12.0,1.14,6.0,13.0,2.2,3.67,3.64,1.14,7.5,19.0,1.14,6.5,13.0,1
41,1770,2008/2009,13,2008-11-15 00:00:00,2,5,0,2,1.5,4.0,7.0,1.5,3.8,5.5,1.44,3.75,6.0,2.2,3.67,3.64,1.53,3.75,7.0,1.45,3.75,6.5,-1
42,1771,2008/2009,13,2008-11-15 00:00:00,4,17,0,0,2.5,3.25,2.88,2.5,3.0,2.7,2.4,3.25,2.5,2.2,3.67,3.64,2.5,3.2,2.88,2.4,3.2,2.65,0
43,1772,2008/2009,13,2008-11-16 00:00:00,6,7,1,1,1.83,3.5,4.5,1.85,3.2,3.8,1.8,3.3,3.75,2.2,3.67,3.64,1.83,3.4,4.5,1.9,3.4,4.35,0
44,1773,2008/2009,13,2008-11-15 00:00:00,13,20,2,2,2.1,3.3,3.6,2.0,3.2,3.3,2.0,3.2,3.2,2.2,3.67,3.64,2.05,3.25,3.75,1.9,3.25,3.6,0
45,1774,2008/2009,13,2008-11-15 00:00:00,19,3,1,2,2.0,3.4,3.8,2.0,3.2,3.3,2.0,3.2,3.2,2.2,3.67,3.64,2.05,3.3,3.6,2.1,3.2,3.2,-1
46,1775,2008/2009,13,2008-11-15 00:00:00,14,15,2,1,3.3,3.3,2.25,2.8,3.1,2.3,2.8,3.2,2.2,2.2,3.67,3.64,3.1,3.3,2.3,2.9,3.25,2.25,1
47,1776,2008/2009,13,2008-11-15 00:00:00,8,12,0,2,6.0,3.75,1.62,4.5,3.5,1.65,5.0,3.25,1.62,2.2,3.67,3.64,6.0,3.8,1.57,5.5,3.5,1.55,-1
48,1777,2008/2009,13,2008-11-15 00:00:00,16,10,0,3,12.0,5.0,1.3,8.5,4.4,1.3,8.0,4.5,1.29,2.2,3.67,3.64,11.0,5.0,1.3,9.0,4.5,1.3,-1
49,1778,2008/2009,13,2008-11-16 00:00:00,9,18,2,2,2.88,3.25,2.5,2.6,3.2,2.4,2.4,3.25,2.5,2.2,3.67,3.64,2.9,3.3,2.4,2.9,3.3,2.5,0
50,1779,2008/2009,14,2008-11-22 00:00:00,12,14,0,0,1.25,5.5,15.0,1.27,4.6,9.0,1.25,5.5,12.0,2.2,3.67,3.64,1.22,5.25,11.0,1.25,5.4,15.0,0
51,1780,2008/2009,14,2008-11-23 00:00:00,3,4,0,1,2.1,3.4,3.5,2.15,3.1,3.1,2.0,3.4,3.75,2.2,3.67,3.64,2.1,3.2,3.2,2.1,3.4,3.4,-1
52,1781,2008/2009,14,2008-11-23 00:00:00,15,19,1,0,1.73,3.75,4.75,1.75,3.3,4.2,1.73,3.5,5.0,2.2,3.67,3.64,1.7,3.4,4.5,1.75,3.6,4.8,1
53,1782,2008/2009,14,2008-11-22 00:00:00,5,1,0,0,5.0,3.6,1.73,4.2,3.3,1.75,4.5,3.5,1.8,2.2,3.67,3.64,4.2,3.4,1.75,5.0,3.7,1.75,0
54,1783,2008/2009,14,2008-11-22 00:00:00,7,8,1,3,1.91,3.4,4.33,1.85,3.2,3.8,1.83,3.4,4.5,2.2,3.67,3.64,1.9,3.25,3.75,1.9,3.4,4.35,-1
55,1784,2008/2009,14,2008-11-22 00:00:00,18,2,3,0,3.25,3.4,2.2,3.1,3.2,2.1,3.2,3.4,2.2,2.2,3.67,3.64,3.4,3.25,2.0,3.25,3.4,2.2,1
56,1785,2008/2009,14,2008-11-22 00:00:00,17,9,2,2,1.8,3.6,4.5,1.75,3.3,4.2,1.83,3.5,4.33,2.2,3.67,3.64,1.8,3.25,4.2,1.85,3.4,4.35,0
57,1786,2008/2009,14,2008-11-22 00:00:00,11,16,1,0,2.2,3.3,3.4,2.0,3.2,3.3,2.25,3.3,3.2,2.2,3.67,3.64,2.1,3.2,3.2,2.2,3.25,3.4,1
58,1787,2008/2009,14,2008-11-24 00:00:00,20,6,1,0,2.5,3.3,2.88,2.55,3.1,2.55,2.5,3.3,2.8,2.2,3.67,3.64,2.5,3.2,2.6,2.5,3.3,2.8,1
59,1788,2008/2009,14,2008-11-22 00:00:00,10,13,0,0,1.2,6.0,19.0,1.2,5.2,11.0,1.2,6.0,15.0,2.2,3.67,3.64,1.2,5.5,12.0,1.2,6.5,15.0,0
60,1789,2008/2009,15,2008-12-01 00:00:00,12,4,0,0,1.3,5.0,12.0,1.33,4.2,8.0,1.25,4.5,10.0,2.2,3.67,3.64,1.29,4.33,8.5,1.3,5.0,11.0,0
61,1790,2008/2009,15,2008-11-29 00:00:00,3,8,1,4,2.25,3.3,3.3,2.2,3.1,3.0,2.2,3.2,2.8,2.2,3.67,3.64,2.25,3.2,2.75,2.25,3.3,3.2,-1
62,1791,2008/2009,15,2008-11-30 00:00:00,15,6,0,1,1.91,3.5,4.0,1.9,3.2,3.6,2.0,3.2,3.2,2.2,3.67,3.64,1.95,3.25,3.3,2.0,3.3,3.8,-1
63,1792,2008/2009,15,2008-11-29 00:00:00,5,14,0,0,1.57,3.8,6.5,1.65,3.5,4.5,1.62,3.25,5.0,2.2,3.67,3.64,1.57,3.5,5.0,1.6,3.6,6.0,0
64,1793,2008/2009,15,2008-11-29 00:00:00,7,13,0,0,2.2,3.3,3.4,2.1,3.1,3.2,2.2,3.2,2.8,2.2,3.67,3.64,2.1,3.1,3.1,2.2,3.25,3.4,0
65,1794,2008/2009,15,2008-11-30 00:00:00,18,1,0,1,4.33,3.6,1.83,3.8,3.2,1.85,3.75,3.2,1.83,2.2,3.67,3.64,4.33,3.2,1.73,4.2,3.4,1.9,-1
66,1795,2008/2009,15,2008-11-30 00:00:00,17,19,3,2,2.1,3.3,3.6,1.9,3.2,3.6,1.83,3.2,3.75,2.2,3.67,3.64,2.0,3.2,3.2,2.1,3.25,3.6,1
67,1796,2008/2009,15,2008-11-29 00:00:00,11,9,1,1,2.4,3.4,2.88,2.3,3.2,2.7,2.25,3.2,2.75,2.2,3.67,3.64,2.25,3.2,2.75,2.4,3.3,2.9,0
68,1797,2008/2009,15,2008-11-29 00:00:00,20,16,2,1,1.73,3.6,5.0,1.8,3.2,4.0,1.8,3.3,3.75,2.2,3.67,3.64,1.83,3.2,3.75,1.72,3.6,5.0,1
69,1798,2008/2009,15,2008-11-30 00:00:00,10,2,1,2,1.8,3.4,5.0,1.7,3.3,4.5,1.73,3.1,4.5,2.2,3.67,3.64,1.67,3.3,4.5,1.73,3.5,5.0,-1
70,1799,2008/2009,16,2008-12-06 00:00:00,1,3,1,0,1.14,7.5,23.0,1.2,5.2,11.0,1.17,7.0,15.0,2.2,3.67,3.64,1.17,6.5,19.0,1.14,7.5,17.0,1
71,1800,2008/2009,16,2008-12-06 00:00:00,2,20,1,0,1.33,4.75,11.0,1.3,4.4,8.5,1.33,4.5,11.0,2.2,3.67,3.64,1.3,5.0,11.0,1.3,5.0,11.0,1
72,1801,2008/2009,16,2008-12-08 00:00:00,4,15,0,2,2.75,3.25,2.62,2.55,3.1,2.55,2.6,3.4,2.6,2.2,3.67,3.64,2.7,3.2,2.6,2.7,3.25,2.5,-1
73,1802,2008/2009,16,2008-12-07 00:00:00,6,5,2,3,2.62,3.25,2.75,2.4,3.1,2.7,2.6,3.2,2.75,2.2,3.67,3.64,2.62,3.3,2.62,2.65,3.25,2.65,-1
74,1803,2008/2009,16,2008-12-06 00:00:00,13,11,2,2,1.8,3.5,4.75,1.75,3.3,4.2,1.8,3.5,4.5,2.2,3.67,3.64,1.8,3.5,4.5,1.75,3.5,5.0,0
75,1804,2008/2009,16,2008-12-06 00:00:00,19,12,1,3,5.5,3.5,1.73,4.3,3.4,1.7,5.5,3.5,1.67,2.2,3.67,3.64,5.5,3.5,1.67,5.5,3.5,1.65,-1
76,1805,2008/2009,16,2008-12-06 00:00:00,14,18,1,1,2.6,3.2,2.8,2.5,3.1,2.6,2.6,3.4,2.6,2.2,3.67,3.64,2.6,3.2,2.7,2.65,3.2,2.7,0
77,1806,2008/2009,16,2008-12-06 00:00:00,8,10,0,2,7.0,3.8,1.53,5.5,3.5,1.55,6.0,3.6,1.62,2.2,3.67,3.64,7.0,4.0,1.5,6.0,3.75,1.55,-1
78,1807,2008/2009,16,2008-12-07 00:00:00,16,17,1,1,2.62,3.25,2.75,2.5,3.2,2.5,2.6,3.4,2.6,2.2,3.67,3.64,2.6,3.2,2.7,2.65,3.25,2.7,0
79,1808,2008/2009,16,2008-12-06 00:00:00,9,7,2,1,2.38,3.25,3.1,2.3,3.2,2.7,2.38,3.25,3.0,2.2,3.67,3.64,2.4,3.3,2.9,2.35,3.2,3.1,1
80,1809,2008/2009,17,2008-12-13 00:00:00,12,9,2,2,1.33,5.0,10.0,1.3,4.4,8.5,1.33,4.0,8.0,2.2,3.67,3.64,1.33,4.6,10.0,1.33,4.8,10.0,0
81,1810,2008/2009,17,2008-12-13 00:00:00,3,16,4,0,2.0,3.4,3.8,2.0,3.2,3.3,2.0,3.2,3.2,2.2,3.67,3.64,2.15,3.3,3.4,2.0,3.3,3.8,1
82,1811,2008/2009,17,2008-12-13 00:00:00,15,1,0,0,4.5,3.5,1.83,3.8,3.2,1.85,4.5,3.5,1.8,2.2,3.67,3.64,4.5,3.5,1.8,4.35,3.6,1.8,0
83,1812,2008/2009,17,2008-12-13 00:00:00,5,8,4,2,1.67,3.6,5.5,1.65,3.4,4.7,1.62,3.25,5.0,2.2,3.67,3.64,1.67,3.5,5.5,1.65,3.6,5.5,1
84,1813,2008/2009,17,2008-12-13 00:00:00,7,2,1,1,4.5,3.6,1.8,4.0,3.2,1.8,4.33,3.2,1.73,2.2,3.67,3.64,5.0,3.5,1.73,5.0,3.5,1.75,0
85,1814,2008/2009,17,2008-12-13 00:00:00,18,6,0,1,2.0,3.4,3.8,2.0,3.2,3.3,1.91,3.25,3.4,2.2,3.67,3.64,2.05,3.3,3.6,2.0,3.4,3.75,-1
86,1815,2008/2009,17,2008-12-14 00:00:00,17,13,0,3,2.05,3.2,3.4,2.0,3.2,3.3,2.1,3.3,3.5,2.2,3.67,3.64,2.0,3.3,3.8,2.0,3.4,3.6,-1
87,1816,2008/2009,17,2008-12-13 00:00:00,11,14,0,0,2.5,3.25,2.88,2.3,3.1,2.8,2.2,3.2,2.8,2.2,3.67,3.64,2.5,3.2,2.88,2.4,3.3,2.9,0
88,1817,2008/2009,17,2008-12-13 00:00:00,20,19,3,0,2.1,3.3,3.6,2.0,3.2,3.3,2.0,3.2,3.2,2.2,3.67,3.64,2.05,3.3,3.6,2.0,3.4,3.75,1
89,1818,2008/2009,17,2008-12-14 00:00:00,10,4,1,1,1.25,5.5,15.0,1.25,4.8,9.5,1.25,5.5,12.0,2.2,3.67,3.64,1.22,5.5,15.0,1.22,5.8,15.0,0
90,1819,2008/2009,18,2009-01-14 00:00:00,1,20,1,0,1.2,6.0,15.0,1.22,5.0,10.0,1.2,5.0,11.0,2.2,3.67,3.64,1.22,4.8,10.0,1.2,6.5,15.0,1
91,1820,2008/2009,18,2008-12-21 00:00:00,2,12,1,1,2.4,3.25,3.0,2.3,3.1,2.8,2.4,3.2,3.0,2.2,3.67,3.64,2.38,3.1,3.1,2.4,3.2,2.9,0
92,1821,2008/2009,18,2008-12-20 00:00:00,4,5,0,1,3.0,3.4,2.37,2.8,3.1,2.3,3.0,3.25,2.38,2.2,3.67,3.64,3.0,3.25,2.38,2.9,3.3,2.35,-1
93,1822,2008/2009,18,2008-12-22 00:00:00,6,10,0,0,5.0,3.6,1.73,4.2,3.3,1.75,5.0,3.5,1.73,2.2,3.67,3.64,5.0,3.6,1.7,5.0,3.5,1.73,0
94,1823,2008/2009,18,2008-12-21 00:00:00,13,15,2,1,2.37,3.4,3.0,2.4,3.1,2.7,2.5,3.3,2.8,2.2,3.67,3.64,2.5,3.3,2.8,2.5,3.4,2.7,1
95,1824,2008/2009,18,2008-12-20 00:00:00,19,11,3,0,1.83,3.5,4.5,1.9,3.2,3.6,1.8,3.5,4.5,2.2,3.67,3.64,1.83,3.4,4.5,1.8,3.5,4.35,1
96,1825,2008/2009,18,2008-12-20 00:00:00,14,7,3,0,2.2,3.25,3.5,2.1,3.1,3.2,2.2,3.3,3.3,2.2,3.67,3.64,2.2,3.2,3.4,2.1,3.3,3.5,1
97,1826,2008/2009,18,2008-12-20 00:00:00,8,17,2,1,2.2,3.25,3.4,2.1,3.1,3.2,2.2,3.3,3.3,2.2,3.67,3.64,2.2,3.2,3.4,2.1,3.3,3.4,1
98,1827,2008/2009,18,2008-12-21 00:00:00,16,18,2,1,3.25,3.3,2.25,2.8,3.1,2.3,3.1,3.3,2.3,2.2,3.67,3.64,3.2,3.25,2.25,3.2,3.25,2.25,1
99,1828,2008/2009,18,2008-12-20 00:00:00,9,3,1,4,2.1,3.25,3.75,2.1,3.1,3.2,2.0,3.4,3.75,2.2,3.67,3.64,2.1,3.2,3.6,2.0,3.3,3.8,-1
100,1829,2008/2009,19,2008-12-26 00:00:00,12,8,3,0,1.33,4.5,12.0,1.33,4.2,8.0,1.36,4.5,9.0,2.2,3.67,3.64,1.36,4.2,11.0,1.33,4.6,10.0,1
101,1830,2008/2009,19,2008-12-26 00:00:00,3,19,0,0,2.25,3.25,3.3,2.2,3.1,3.0,2.25,3.25,3.25,2.2,3.67,3.64,2.3,3.2,3.2,2.25,3.25,3.25,0
102,1831,2008/2009,19,2008-12-26 00:00:00,15,14,0,0,1.72,3.6,5.0,1.75,3.3,4.2,1.73,3.5,5.0,2.2,3.67,3.64,1.8,3.4,4.6,1.75,3.7,4.5,0
103,1832,2008/2009,19,2008-12-26 00:00:00,5,2,2,2,2.5,3.3,2.87,2.5,3.0,2.7,2.38,3.25,3.0,2.2,3.67,3.64,2.5,3.2,2.88,2.5,3.3,2.8,0
104,1833,2008/2009,19,2008-12-26 00:00:00,7,6,0,1,2.5,3.3,2.87,2.4,3.1,2.7,2.62,3.3,2.62,2.2,3.67,3.64,2.6,3.2,2.75,2.5,3.3,2.8,-1
105,1834,2008/2009,19,2008-12-26 00:00:00,18,9,5,1,1.8,3.6,4.5,1.75,3.3,4.2,1.83,3.4,4.33,2.2,3.67,3.64,1.8,3.4,4.6,1.8,3.6,4.5,1
106,1835,2008/2009,19,2008-12-26 00:00:00,17,4,1,4,2.2,3.25,3.4,2.0,3.2,3.3,2.25,3.25,3.25,2.2,3.67,3.64,2.25,3.2,3.3,2.2,3.3,3.3,-1
107,1836,2008/2009,19,2008-12-26 00:00:00,11,1,0,1,12.0,5.0,1.3,8.5,4.4,1.3,9.0,4.5,1.36,2.2,3.67,3.64,11.0,4.5,1.33,11.0,5.0,1.3,-1
108,1837,2008/2009,19,2008-12-26 00:00:00,20,13,2,1,2.25,3.3,3.25,2.1,3.1,3.2,2.25,3.25,3.25,2.2,3.67,3.64,2.2,3.3,3.3,2.25,3.3,3.25,1
109,1838,2008/2009,19,2008-12-26 00:00:00,10,16,2,0,1.14,7.5,21.0,1.15,6.0,13.0,1.2,6.0,15.0,2.2,3.67,3.64,1.17,6.5,19.0,1.15,7.5,17.0,1
110,1839,2008/2009,2,2008-08-23 00:00:00,12,7,2,1,1.36,4.5,10.0,1.4,4.0,6.5,1.4,4.2,9.0,2.2,3.67,3.64,1.36,4.5,9.5,1.4,4.6,8.5,1
111,1840,2008/2009,2,2008-08-23 00:00:00,15,3,1,2,1.5,4.0,7.0,1.5,3.8,5.5,1.53,3.75,7.0,2.2,3.67,3.64,1.44,4.2,7.5,1.5,4.2,7.0,-1
112,1841,2008/2009,2,2008-08-23 00:00:00,13,8,1,0,1.8,3.5,4.75,1.75,3.3,4.2,1.8,3.5,4.5,2.2,3.67,3.64,1.83,3.4,4.5,1.8,3.5,4.8,1
113,1842,2008/2009,2,2008-08-24 00:00:00,18,4,3,0,2.3,3.25,3.2,2.1,3.2,3.1,2.25,3.3,3.2,2.2,3.67,3.64,2.25,3.3,3.2,2.3,3.25,3.3,1
114,1843,2008/2009,2,2008-08-23 00:00:00,19,9,1,1,1.57,3.75,7.0,1.6,3.6,4.8,1.62,3.6,6.0,2.2,3.67,3.64,1.57,3.8,6.0,1.55,3.75,7.0,0
115,1844,2008/2009,2,2008-08-23 00:00:00,14,2,1,0,6.5,3.75,1.57,5.0,3.5,1.6,6.0,3.6,1.62,2.2,3.67,3.64,6.0,3.8,1.57,6.5,3.9,1.55,1
116,1845,2008/2009,2,2008-08-23 00:00:00,16,6,1,2,2.88,3.25,2.5,2.8,3.1,2.3,2.8,3.3,2.5,2.2,3.67,3.64,2.62,3.3,2.62,2.9,3.3,2.5,-1
117,1846,2008/2009,2,2008-08-25 00:00:00,17,1,0,1,4.8,3.4,1.8,4.2,3.3,1.75,5.0,3.5,1.73,2.2,3.67,3.64,4.8,3.3,1.8,5.0,3.4,1.8,-1
118,1847,2008/2009,2,2008-08-23 00:00:00,11,5,3,2,5.0,3.6,1.73,4.3,3.4,1.7,5.0,3.25,1.8,2.2,3.67,3.64,5.0,3.6,1.7,5.3,3.7,1.7,1
119,1848,2008/2009,2,2008-08-24 00:00:00,20,10,0,1,8.5,4.5,1.4,6.5,4.0,1.4,8.0,4.0,1.44,2.2,3.67,3.64,8.5,4.33,1.4,8.0,4.8,1.4,-1
120,1849,2008/2009,20,2008-12-29 00:00:00,1,7,1,0,1.2,6.5,19.0,1.25,4.8,9.5,1.2,6.0,15.0,2.2,3.67,3.64,1.2,6.0,15.0,1.18,6.5,15.0,1
121,1850,2008/2009,20,2008-12-28 00:00:00,2,17,1,0,1.4,4.5,10.0,1.4,3.8,7.0,1.36,4.33,10.0,2.2,3.67,3.64,1.4,4.33,8.5,1.4,4.35,9.0,1
122,1851,2008/2009,20,2008-12-28 00:00:00,4,11,2,1,1.72,3.6,5.5,1.75,3.3,4.2,1.73,3.5,5.0,2.2,3.67,3.64,1.8,3.5,4.5,1.7,3.5,5.5,1
123,1852,2008/2009,20,2008-12-28 00:00:00,6,3,3,0,1.8,3.6,5.0,1.75,3.3,4.2,1.73,3.5,5.0,2.2,3.67,3.64,1.8,3.5,4.5,1.8,3.4,4.7,1
124,1853,2008/2009,20,2008-12-28 00:00:00,13,12,1,5,5.0,3.6,1.8,3.8,3.2,1.85,5.0,3.5,1.73,2.2,3.67,3.64,4.5,3.75,1.73,4.5,3.5,1.8,-1
125,1854,2008/2009,20,2008-12-28 00:00:00,19,18,2,2,2.62,3.3,2.87,2.3,3.1,2.8,2.4,3.4,2.8,2.2,3.67,3.64,2.5,3.3,2.75,2.5,3.3,2.8,0
126,1855,2008/2009,20,2008-12-28 00:00:00,14,10,2,2,6.5,3.75,1.61,5.0,3.5,1.6,6.5,3.6,1.57,2.2,3.67,3.64,6.5,3.6,1.57,6.0,3.6,1.6,0
